主要時系列統計データ表
2025/09/28 15:00
"","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）","全国短観・判断項目（業況）（四半期）"
"系列名称","D.I./業況/大企業/製造業/実績","D.I./業況/大企業/製造業/予測","D.I./業況/大企業/非製造業/実績","D.I./業況/大企業/非製造業/予測","D.I./業況/中堅企業/製造業/実績","D.I./業況/中堅企業/製造業/予測","D.I./業況/中堅企業/非製造業/実績","D.I./業況/中堅企業/非製造業/予測","D.I./業況/中小企業/製造業/実績","D.I./業況/中小企業/製造業/予測","D.I./業況/中小企業/非製造業/実績","D.I./業況/中小企業/非製造業/予測"
"データコード",CO'TK99F1000601GCQ01000,CO'TK99F1000601GCQ11000,CO'TK99F2000601GCQ01000,CO'TK99F2000601GCQ11000,CO'TK99F1000601GCQ02000,CO'TK99F1000601GCQ12000,CO'TK99F2000601GCQ02000,CO'TK99F2000601GCQ12000,CO'TK99F1000601GCQ03000,CO'TK99F1000601GCQ13000,CO'TK99F2000601GCQ03000,CO'TK99F2000601GCQ13000
"単位",%ポイント,%ポイント,%ポイント,%ポイント,%ポイント,%ポイント,%ポイント,%ポイント,%ポイント,%ポイント,%ポイント,%ポイント
"収録開始期","1974/06","1974/09","1983/06","1983/09","1974/06","1974/09","1983/06","1983/09","1967/09","1967/12","1983/06","1983/09"
"収録終了期","2025/06","2025/09","2025/06","2025/09","2025/06","2025/09","2025/06","2025/09","2025/06","2025/09","2025/06","2025/09"
"最終更新日","2025/07/02","2025/07/02","2025/07/02","2025/07/02","2025/07/02","2025/07/02","2025/07/02","2025/07/02","2025/07/02","2025/07/02","2025/07/02","2025/07/02"
1967/09,,,,,,,,,43,,,
1967/12,,,,,,,,,44,51,,
1968/03,,,,,,,,,38,41,,
1968/06,,,,,,,,,35,31,,
1968/09,,,,,,,,,33,27,,
1968/12,,,,,,,,,38,42,,
1969/03,,,,,,,,,34,38,,
1969/06,,,,,,,,,39,40,,
1969/09,,,,,,,,,38,40,,
1969/12,,,,,,,,,40,45,,
1970/03,,,,,,,,,37,40,,
1970/06,,,,,,,,,35,40,,
1970/09,,,,,,,,,26,35,,
1970/12,,,,,,,,,15,30,,
1971/03,,,,,,,,,-1,12,,
1971/06,,,,,,,,,-6,-1,,
1971/09,,,,,,,,,-11,2,,
1971/12,,,,,,,,,-13,3,,
1972/03,,,,,,,,,-15,-22,,
1972/06,,,,,,,,,-3,-13,,
1972/09,,,,,,,,,6,4,,
1972/12,,,,,,,,,19,18,,
1973/03,,,,,,,,,33,28,,
1973/06,,,,,,,,,42,40,,
1973/09,,,,,,,,,46,34,,
1973/12,,,,,,,,,42,41,,
1974/03,,,,,,,,,27,27,,
1974/06,8,,,,14,,,,8,-6,,
1974/09,-18,-18,,,-15,-18,,,-14,-18,,
1974/12,-35,-18,,,-33,-17,,,-30,-21,,
1975/03,-56,-45,,,-53,-43,,,-49,-48,,
1975/06,-57,-55,,,-53,-50,,,-51,-53,,
1975/09,-52,-43,,,-46,-34,,,-45,-36,,
1975/12,-44,-37,,,-37,-31,,,-36,-32,,
1976/03,-39,-36,,,-31,-30,,,-33,-33,,
1976/06,-21,-29,,,-13,-20,,,-13,-22,,
1976/09,-3,-7,,,-1,-1,,,-4,-5,,
1976/12,-3,10,,,-2,9,,,-6,3,,
1977/03,-13,-2,,,-14,-5,,,-16,-10,,
1977/06,-14,-9,,,-13,-12,,,-18,-15,,
1977/09,-16,-12,,,-16,-11,,,-21,-19,,
1977/12,-20,-8,,,-20,-14,,,-23,-22,,
1978/03,-19,-18,,,-21,-23,,,-23,-27,,
1978/06,-6,-19,,,-6,-21,,,-10,-26,,
1978/09,7,-6,,,1,-7,,,-1,-10,,
1978/12,9,1,,,1,-2,,,1,-5,,
1979/03,15,2,,,6,-6,,,7,-9,,
1979/06,28,10,,,21,3,,,15,2,,
1979/09,37,21,,,25,11,,,19,6,,
1979/12,34,15,,,22,4,,,17,0,,
1980/03,24,10,,,16,0,,,14,-4,,
1980/06,30,2,,,24,-7,,,17,-10,,
1980/09,21,9,,,14,-2,,,4,-7,,
1980/12,8,8,,,4,-2,,,-4,-8,,
1981/03,-2,-1,,,-7,-6,,,-11,-13,,
1981/06,-5,-5,,,-8,-10,,,-15,-17,,
1981/09,-3,-2,,,-9,-9,,,-16,-13,,
1981/12,-2,6,,,-8,-3,,,-12,-12,,
1982/03,-5,1,,,-13,-5,,,-13,-12,,
1982/06,-10,-6,,,-17,-14,,,-17,-18,,
1982/09,-17,-11,,,-22,-19,,,-24,-23,,
1982/12,-23,-13,,,-28,-21,,,-28,-24,,
1983/03,-28,-24,,,-31,-30,,,-32,-34,,
1983/06,-22,-26,-6,,-26,-32,-12,,-28,-33,-12,
1983/09,-15,-14,-5,-4,-18,-20,-15,-7,-23,-21,-14,-11
1983/12,-7,-3,0,-1,-14,-9,-11,-6,-15,-14,-14,-8
1984/03,6,5,2,4,-5,-6,-12,-4,-10,-13,-11,-6
1984/06,14,12,7,8,3,6,-3,-1,-1,-3,-5,-4
1984/09,20,20,8,12,7,8,-2,2,0,3,-5,-2
1984/12,22,22,11,12,7,10,-4,3,0,4,-3,-1
1985/03,22,20,9,12,8,9,2,1,-3,0,-5,-2
1985/06,18,20,12,10,6,8,4,3,-4,-2,-5,-6
1985/09,13,16,11,9,0,4,2,4,-5,-4,-5,-4
1985/12,5,11,11,11,-9,1,-1,4,-12,-7,-6,-4
1986/03,-4,-2,8,9,-17,-13,-4,0,-20,-18,-7,-7
1986/06,-12,-4,11,6,-23,-17,-2,-4,-24,-24,-9,-11
1986/09,-19,-14,8,8,-23,-25,-3,-2,-30,-31,-11,-12
1986/12,-24,-21,8,5,-24,-27,-4,-3,-30,-33,-9,-12
1987/03,-23,-27,8,6,-25,-34,-6,-6,-29,-37,-8,-14
1987/06,-20,-25,12,6,-19,-32,-2,-8,-24,-35,-4,-15
1987/09,-11,-22,19,10,-9,-23,4,-2,-14,-29,4,-6
1987/12,6,-8,26,18,8,-7,13,5,4,-8,11,4
1988/03,18,4,34,22,15,5,19,13,14,3,16,9
1988/06,32,17,46,31,28,9,36,17,23,7,23,12
1988/09,40,28,48,42,33,19,40,30,25,17,25,19
1988/12,46,37,52,45,34,26,36,33,29,21,24,20
1989/03,47,40,52,49,35,25,36,28,29,21,27,20
1989/06,53,42,52,47,41,27,42,33,36,22,34,22
1989/09,50,47,50,50,42,31,39,35,36,25,31,25
1989/12,47,46,49,50,39,34,41,36,34,29,32,23
1990/03,43,42,49,47,35,29,43,36,32,26,33,25
1990/06,41,38,51,48,34,27,41,34,31,24,33,23
1990/09,41,37,57,47,37,26,41,33,32,22,34,20
1990/12,38,38,52,51,34,32,33,35,30,28,31,24
1991/03,36,29,50,40,33,24,31,22,29,19,25,13
1991/06,33,26,47,37,32,17,32,16,25,13,23,9
1991/09,25,24,41,38,23,19,26,22,20,14,21,11
1991/12,11,20,33,35,8,16,17,20,8,10,13,13
1992/03,-5,2,20,22,-10,-5,9,7,-4,-5,5,0
